;date;username;content
0;2022-05-06 15:26:41+00:00;riki29643676;@olinlovess heh lonte sialan cepet puasin kontol tuan, cepet bajingan chat tuan
1;2022-05-06 15:25:30+00:00;althafMu;@fahtirxx Ga malu apa lu jualan agama terus. Emak lu lonte
2;2022-05-06 15:24:20+00:00;mezntri;@convomfs jelek jelek njir, ya tikus ya asu ya jancok ya lonte ya Tante, padahal gua anak baik baik😭
3;2022-05-06 15:22:53+00:00;FakeMouse_;saking sungkanan jd orang, sampe ga enak nge php lonte di michat
4;2022-05-06 15:21:57+00:00;riki29643676;@dewilulu_4 ahh dasar lonte, sini tuan gb,anal, bdsm nyampe lemes
5;2022-05-06 15:21:45+00:00;BarBaro5_;"""@IdiotIndonesian @wanpanger1 @viaa_tha @kkmanti Anjelo,,. Antar jemput lonte"""
6;2022-05-06 15:21:16+00:00;sofriee;@KokoGunawan10 @edo_macho Masih doyan liat memek lonte ga usah sok religius nyet... Malu2in
7;2022-05-06 15:20:27+00:00;imaaaaaer;@putradiff4 banyak lonte lonte
8;2022-05-06 15:18:19+00:00;Kaipemuaslonte;@AlanaOktavia kai siap buat jadi pemuas memek sangean lu Lonte jalang
9;2022-05-06 15:17:34+00:00;Kaipemuaslonte;@TiffannyChenn Lonte sangean anjing betina haus kontol lu itu bangsat
10;2022-05-06 15:14:23+00:00;xiaobel;suka lonte sih https://t.co/JuF6uTpcOV
11;2022-05-06 15:14:15+00:00;imvlynn;ada yg mau chatseks ga? mau dilecehin jadi lonte kamu nihh
12;2022-05-06 15:09:48+00:00;ciwicantiq;Belum dapet musuh, mbak2 spek lonte sebelah juga jadii wkwk
13;2022-05-06 15:08:59+00:00;imnoturss_;Tim LonTe (Lontong Sate) https://t.co/gVqAWZ0IMn
14;2022-05-06 15:05:34+00:00;DodiHer19351267;@mahasiswigenz @AliNgabalinNew Babichina lonte aleksis
15;2022-05-06 15:02:57+00:00;thazqll;DIH NAJIS BANGET AJG APA2 DIKATAIN LONTE, KELUAR LU NDER YG SERING HS NGATAIN ORG LONTE, LU LGI NGATAIN DIRI SENDIRI KAH JELEK??
16;2022-05-06 15:02:42+00:00;RicedAnus;@triisudrajat1 lonte
17;2022-05-06 15:01:07+00:00;obetlucu;@kuannin lonte lonely teenager
18;2022-05-06 15:00:30+00:00;lagi_mece;@griffinarks @fbrydwy Lonte eh lotre
19;2022-05-06 14:58:55+00:00;kazunjin_lsrfm;Emang monyet orang2 yang kek gitu. Kenal kagak ngatain org lonte cuma karna postingan ga jelas gitu. Gaheran sih besok pengikut dakjal banyak, orang2 jaman skrg pada bodoh. Sama postingan buatan manusia ga jelas gitu aja kemakan. Apalagi sama pitnah dakjal. Bodoh. https://t.co/r8vfcGWP3I
20;2022-05-06 14:57:12+00:00;matakudoea;@MochamadRofiq8 Kasihan sekali si Cabul ini terlonte-lonte dalam penjara.
