,date,username,content
0,2022-05-06 15:30:52+00:00,dearonevoice,lu jelek https://t.co/0L5FDueJn3
1,2022-05-06 15:30:52+00:00,y_ookarina,@shimjzake Abian lebih jelek?
2,2022-05-06 15:30:51+00:00,cloudoyz,hhhh sinyal jelek
3,2022-05-06 15:30:46+00:00,tamtaaamm_,Hoki w bukan di slot deh kayanya tapi di karir. Main slot jelek mulu dapetnya
4,2022-05-06 15:30:44+00:00,littlegenre,"@luvintae_ ihh udh gw katain jelek tadi astaghfirullah maafkan ak bts n tim desain,,"
5,2022-05-06 15:30:41+00:00,liothyronine,akun gua jelek banget ternyata 🥲🥲
6,2022-05-06 15:30:35+00:00,bbyyovng,ini gue yg kebanyakan dosa atau akunnya yg jelek sampe limit dm gini
7,2022-05-06 15:30:33+00:00,tysaxvk,"aku jadi keinget omongan si aldi ""jangan liat orang dari covernya doang, dan jangan liat orang dari cara typing nya doang, karena cara bahagia seseorang itu beda' kata kita itu jelek ataupun alay tapi menurut dia itu bagus, jadi tolong hargai"" 😢😢"
8,2022-05-06 15:30:33+00:00,_nuuyy30,Group chat kerjaan udah mulai aktif. Tapi aku tak ingin membukanya bikos masih libur ngga mau mikir2. Masih libur tolong jangan ganggu mood ku yg lagi jelek nanti makin jelek
9,2022-05-06 15:30:27+00:00,231Xi,cowo jelek ni makin diliat-liat makin ga keliatan
10,2022-05-06 15:30:26+00:00,ksooolove,"@volltia YAKANNNNN dahal klo di liat"" w ga jelek jelek amat walaupun ga secantik itu tapi YAA SEENGGAKNYA LAHH ADA YG NGECRUSHIN GUA GTU KEK AAARRGHHH"
11,2022-05-06 15:30:20+00:00,daralalalav,@JohProdite___ Sinyalku jelek bgt:(
12,2022-05-06 15:30:05+00:00,shimjzake,@y_ookarina yang jelek kan rere?
13,2022-05-06 15:30:04+00:00,Akaaakooo_,"@lilastxx Yah emang kamu gak ngerasa, yah tapi kan kamu udah publikasi video itu dan reaksi orang bermacam2. Kalau kebanyakan fikiran jelek yah di td lah"
14,2022-05-06 15:29:54+00:00,Partey44910552,"@MafiaWasit Fans Persib jelek-jelekin pemain Persija, Fans Persija jelek-jelekin pemain Persib. 
Padahal kalo emang pemain nya jelek akuin aja sih, jangan buta hati 😂."
15,2022-05-06 15:29:40+00:00,rnibut,@lqaper jelek bgt anjing gua terakhir
16,2022-05-06 15:29:39+00:00,itsci__el,"@chferant jelek banget, ilang timbul :(("
17,2022-05-06 15:29:35+00:00,rizaldyal26,"@tanyakanrl Ngerasa jelek,tp pas ngaca ganteng 😑"
18,2022-05-06 15:29:34+00:00,akazca,@diluc_dpr_ri eh jelek anjing srius skin aqua (pengalaman) gampang luntur putih putih di muka apalagi yg suka berpanas” an &amp; mudah berkeringat
19,2022-05-06 15:29:28+00:00,HarrisRegar,Seluruh lini amburadul. Jelek sekali @PSSI. https://t.co/i747uhKo9y
20,2022-05-06 15:29:17+00:00,Alunanadasapta,@fikriarsh_ @Vo9elscheuche @4o4NotFovnd @MafiaWasit Tpi rio jelek banget kualitasnya
21,2022-05-06 15:29:16+00:00,nobaract,JELEK BGT KRLAJUAN LU JELEK BANGET HAITANI RAN https://t.co/gyu9P6DMzH
22,2022-05-06 15:29:12+00:00,tyongne,@rumushealing jelek bgt ada typo
23,2022-05-06 15:29:12+00:00,basafey,@rindoumoo jelek bgt
24,2022-05-06 15:29:07+00:00,AGnationPower,"3/10 dari fansmu mengatakan lagu barumu jelek jelas itu haters, Tapi liat ini hampir 7/10 mengatakan tidak cocok dgn karakter #AGNEZMO 
Sejak Patience ft. D Smoke rilis, spotify km mengalami penurunan drastis 🥺
Tidak ada api yg km ciptakan di lagu barumu, ayo sadar @agnezmo 😭 https://t.co/AeXJjKmRKr"
25,2022-05-06 15:29:05+00:00,xjichu,@soojunsg Pasti bdmd kan aku pernah bdmd karena dare ava jelek wkwkw
26,2022-05-06 15:29:00+00:00,ctrww_,KAN Skwkwkwkwkwkw gue jadi ada sentimen jelek ini kalo ada karakter au bapak-bapak paruh baya ambisius SOALNYA KAYAK TITIT
27,2022-05-06 15:28:54+00:00,markcity028,@lavaniazahra Itu selamanya bakal jelek atau nnti stelah brapa lama bakal bersih kak? Soalnya aku pernah baca jg dr tweet org soal BI checking gtu cmn masih blom paham
28,2022-05-06 15:28:43+00:00,aetheerr18,pacaran yu tapi aku jelek
29,2022-05-06 15:28:42+00:00,tiiikanew,@serunipurba @putera___ @indrwnfrdzi Jamnya jelek yg sore. Nabrak maghrib semua wkwkwk https://t.co/mXVSU51YzE
30,2022-05-06 15:28:29+00:00,Darkdealler,"@coklathazenut Tuhan baik, doa jelek berbalik"
31,2022-05-06 15:28:23+00:00,exozystem,@diirumaah @coccainnn IYA ANJING JELEK
32,2022-05-06 15:28:23+00:00,fluffyd0yie,"jelek banget spo gue lagunya acak sendiri, biasanya muter lagunya urut"
33,2022-05-06 15:28:22+00:00,rindoumoo,@basafey snder ketikannya jelek
34,2022-05-06 15:28:14+00:00,lviekky,"sekala anjing, jeje km sama aku aja 
sekala jelek https://t.co/ne25uHTNEi"
35,2022-05-06 15:28:05+00:00,Skskw7_,Idihh jelek bgt gue kalo excited uget-uget kaya ulet gabisa diem😭
36,2022-05-06 15:28:01+00:00,bitteriey,@byulksy jelek aja dong dia biar gaada yg naksir
