,Unnamed: 0,date,username,content,label
0,47,2022-05-06 15:36:08+00:00,LordGerry_,@alter18base Bersihin kek kramiknya ajg malah foto kontol.,0.0
1,135,2022-05-06 11:12:34+00:00,hi__ayu,@FOODFESS2 la lonte,0.0
2,274,2022-05-06 14:44:18+00:00,pepy_jinyoung,Goblok https://t.co/E7BQCjqBRJ,0.0
3,32,2022-05-06 12:49:10+00:00,JoJokolate,@tarochocochips @Unchonz Grepe grepe club,0.0
4,5,2022-05-06 15:30:06+00:00,LanangJagad31,@Cintada16 Wan jembut cuma gunting pita...,0.0
5,0,2022-05-06 15:30:52+00:00,dearonevoice,lu jelek https://t.co/0L5FDueJn3,0.0
6,226,2022-05-06 14:51:44+00:00,Yuliartfega,@kucingnyamember @PSSI U23 kemaren indonesia mundur bro.  Hal paling memalukan seharah sepak bola.  Styout goblok emg.  Takut divandingin sama Indra sjafri.,0.0
7,232,2022-05-06 15:13:59+00:00,boramm__jj,@iniyando Makanya kntl juga ingin eksis wkwk,1.0
8,272,2022-05-06 11:10:13+00:00,lovingcrust,@Om__chang_wok Ahhh ahhh aagghhhhh iya tuan mentokin terus memek pelayan lacur ini tuan emmhhhh oohhhh ouugghhhhh aku pegang tangan tuan yang lagi remesin tete,1.0
9,275,2022-05-05 10:53:51+00:00,arezaaae,@xzhavira vitamin apaan anjirðŸ˜­ tangan gw manaan item banget lagi tai,0.0
10,134,2022-05-06 13:32:19+00:00,Kts696,@Riska82990092 Salamannya buka pake tangan tapi pake kontol masuk ke memek,1.0
11,241,2022-05-06 15:12:02+00:00,SuryadiGatot,@JenderalTaik @Celestialgalah1 @Juragann_muda2 @YogaAdrianyoga6 @__anomali__ @hlh_kntl @iamJackthe @AbulKhaulah @Verbum_Ang @MusuhDajjal10 @discround_ @reanalalaland @mamang_opik @Ruth_Djojoning @Hayuningrat7 @AremaNita__ ðŸ˜‚ gw ketawain aja yasu yesus j,0.0
12,299,2022-05-06 14:38:55+00:00,feodalladoef,@stonestinggg @Aurasangjantan Itu penemuan tulisan jawi pertama di malaysi blok goblokðŸ¤£ adanya di terengganu. Asalnya tetap dr jambi haduuh ðŸ˜‚,0.0
13,45,2022-05-06 13:53:15+00:00,Tw05220189,@ChusnulCh__ Karya wan jembut bambu mesum https://t.co/tRPUPv8Hub,1.0
14,139,2022-05-06 10:23:09+00:00,hoshigemesin,@xx_ji17 iyaa wkwkwk mgkn krn beli yg agak murahan kali yaa makanya gitu t____t,0.0
15,78,2022-05-06 15:14:16+00:00,miftahoo,Goblok https://t.co/kJ1Zq5v5bh,0.0
16,136,2022-05-06 10:36:50+00:00,dilanfarasya,"Lek karo wong jahat we pasti diomong wedokan murahan lan goblok nder. Tapi grgr aku baik, ga tak omong ngono. Cukup goblok koplo ae ðŸ¤­ðŸ¤­ðŸ¤­ https://t.co/Z1lCd435g8",1.0
